distance_dijkstra_random,emission_dijkstra_random,time_dijkstra_random
62016.46345274827,0.006903290503428237,2172.042683839798
45063.978781132406,0.005436846263305995,1709.9311232566833
68656.85698339231,0.01225198545818276,3852.330382823944
44389.86786747832,0.004568117370781029,1436.356920003891
45825.05031879917,0.004836998156479631,1521.1878373622894
42360.553761005096,0.004705830948800068,1479.376880645752
51746.716508103724,0.006097568210710332,1917.0825290679932
52855.25409893252,0.004859250625853674,1527.31165933609
44388.25848534496,0.0036957366281930013,1161.5058999061584
64724.2673912074,0.006573274344303499,2066.311837911606
