distance_dijkstra_kmeans,emission_dijkstra_kmeans,time_dijkstra_kmeans
45025.86489141366,0.0012582591609032838,623.1616809368134
11329.762482677139,0.000608344560493892,301.41034054756165
31846.838939430578,0.003187344148409454,1579.147200345993
31736.06837869151,0.00266604876460862,1321.0160279273987
31151.546140942402,0.0016337999024259645,809.530387878418
43237.01041578729,0.0053703349688510975,2660.3696208000183
13326.635363524972,0.0016649640523743172,824.4136168956757
41233.74876892999,0.0017351707248456003,859.4260368347168
12845.507846280902,0.0006668456352874921,330.16579842567444
18313.929636997935,0.0013745220683826019,680.5989489555359
