distance_dijkstra_heap_kmeans,emission_dijkstra_heap_kmeans,time_dijkstra_heap_kmeans,distance_dijkstra_heap_kmeans_constrained,emission_dijkstra_heap_kmeans_constrained,time_dijkstra_heap_kmeans_constrained,distance_dijkstra_heap_random,emission_dijkstra_heap_random,time_dijkstra_heap_random
45025.86489141366,4.32337227657067e-06,1.3687407970428467,9858.3626739162,2.6453869686712968e-06,0.8798274993896484,67241.55874574777,1.0189970916555064e-05,3.210319995880127
11329.762482677139,2.2175365785264202e-06,0.7443788051605225,28725.390256831713,4.797856671474923e-06,1.5357003211975098,49042.69423864486,8.732197267547604e-06,2.7587509155273438
31846.838939430578,1.537564757299537e-05,4.855395317077637,45983.181283337224,5.9670298505950265e-06,1.8983783721923828,56997.188963531225,1.1454275684324235e-05,3.6203343868255615
31736.06837869151,5.680374090601465e-06,1.8126959800720215,29218.66416511465,3.3694937065774773e-06,1.07173752784729,49108.01518639662,6.362875804301923e-06,2.0182862281799316
31151.546140942402,6.357745118560105e-06,2.02874755859375,18313.929636997935,3.384115783276164e-06,1.0873289108276367,58747.20453930307,9.16239797312476e-06,2.861849784851074
43237.01041578729,2.265592681282455e-05,7.128084897994995,35488.541786493966,6.428918880395852e-06,2.0538322925567627,37837.42192721241,3.537472904572994e-06,1.1294846534729004
13326.635363524972,1.7575420075214747e-06,0.5679004192352295,40069.10960712154,1.0185856184584388e-05,3.232692003250122,56222.67401974792,5.960096107203214e-06,1.892824411392212
41233.74876892999,4.028290668644756e-06,1.2801342010498047,38212.19985010916,4.123766163148932e-06,1.3047032356262207,46500.18136151694,5.6512391343197245e-06,1.792013168334961
12845.507846280902,1.20418206121852e-06,0.4055662155151367,9914.435950005134,9.321641092024596e-07,0.31889939308166504,63620.595805729194,1.0440444093095217e-05,3.2984447479248047
18313.929636997935,2.3900989156769625e-06,0.7787837982177734,14123.935565964226,4.074412115119618e-06,1.3238458633422852,47864.02624928959,1.1334210337374358e-05,3.578744649887085
