distance_astar_kmeans,emission_astar_kmeans,time_astar_kmeans,distance_astar_kmeans_constrained,emission_astar_kmeans_constrained,time_astar_kmeans_constrained,distance_astar_random,emission_astar_random,time_astar_random
45025.86489141366,5.5504720020772514e-06,1.7473883628845215,9858.3626739162,3.166449344614018e-06,1.0259840488433838,67241.55874574777,1.2505510754384702e-05,3.9473397731781006
11329.762482677139,9.022235877294784e-07,0.2981593608856201,28725.390256831713,9.855752017785934e-06,3.1034045219421387,49042.69423864486,9.429209377887599e-06,2.9793388843536377
31846.838939430578,4.52025181317345e-06,1.433499813079834,45983.181283337224,6.705045357218957e-06,2.1379756927490234,56997.188963531225,9.256036328455863e-06,2.9208595752716064
31736.06837869151,3.7432030153599484e-06,1.1878693103790283,29218.66416511465,3.2039164573414786e-06,1.0208821296691895,49108.01518639662,8.230355425670695e-06,2.6007988452911377
31151.546140942402,2.4880701135593486e-06,0.7964005470275879,18313.929636997935,1.6907477746236213e-06,0.5462896823883057,58747.20453930307,7.69506464599672e-06,2.4373064041137695
43237.01041578729,9.700323582935181e-06,3.067239761352539,35488.541786493966,5.157796013562711e-06,1.6466524600982666,37837.42192721241,3.8414081713662455e-06,1.2245967388153076
13326.635363524972,5.981174645924961e-06,1.8726189136505127,40069.10960712154,5.597246697068062e-06,1.7721648216247559,56222.67401974792,6.384026307635259e-06,2.0366175174713135
41233.74876892999,5.521719682011908e-06,1.7606697082519531,38212.19985010916,4.007324958336493e-06,1.2761163711547852,46500.18136151694,9.410572411704492e-06,2.9777026176452637
12845.507846280902,8.460115693280976e-07,0.2820858955383301,9914.435950005134,1.044700766065627e-06,0.34665560722351074,63620.595805729194,1.7682394080976e-05,5.553381443023682
18313.929636997935,3.0162465968225394e-06,0.9722616672515869,14123.935565964226,1.4522450964007249e-06,0.4739878177642822,47864.02624928959,1.1951940751101266e-05,3.7676730155944824
