distance_astar_kmeans,time_astar_kmeans,distance_astar_kmeans_constrained,time_astar_kmeans_constrained,distance_astar_random,time_astar_random
45025.86489141366,0.5879712104797363,9858.362673916197,0.15399885177612305,65974.10693789751,1.485999584197998
11329.762482677139,0.1360301971435547,28725.390256831713,0.5579521656036377,45099.28228905193,0.8080112934112549
31846.838939430578,0.7999582290649414,45983.181283337224,0.72304368019104,50038.785645950054,1.241471767425537
31736.06837869151,0.6630105972290039,29218.66416511465,0.5659976005554199,50878.03632693949,1.167992353439331
31151.546140942402,0.4299888610839844,18313.929636997935,0.29996299743652344,58455.35969514752,1.6859605312347412
43237.01041578729,1.3490428924560547,35488.541786493966,0.6860449314117432,47452.17916801196,2.2810451984405518
13326.635363524972,0.33699774742126465,40069.10960712154,0.8999934196472168,53746.52151553128,1.7900030612945557
41233.74876892999,0.5370068550109863,38212.19985010916,0.7160003185272217,31830.38198613331,0.453995943069458
12845.507846280902,0.14300251007080078,9914.435950005134,0.17699790000915527,23966.961471987855,0.23400616645812988
18313.929636997935,0.2969985008239746,14123.935565964226,0.2460005283355713,63317.356930785434,4.106958866119385
